plant,part,parasite,group,concentration_mgml,day,lev,animal_dead,data_flag
A. indica,seeds,T. congolense,100mg/ml,100,1,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,2,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,3,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,4,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,5,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,6,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,7,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,8,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,9,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,10,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,11,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,12,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,13,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,14,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,15,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,16,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,17,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,18,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,19,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,20,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,21,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,22,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,23,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,24,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,25,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,26,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,27,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,28,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,29,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,30,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,31,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,32,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,33,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,34,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,35,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,36,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,37,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,38,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,39,0,FALSE,NA
A. indica,seeds,T. congolense,100mg/ml,100,40,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,1,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,2,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,3,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,4,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,5,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,6,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,7,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,8,0,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,9,1.23,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,10,1.49,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,11,1.57,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,12,2.63,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,13,3.31,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,14,4.06,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,15,4.45,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,16,4.28,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,17,4.39,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,18,4.3,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,19,3.74,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,20,3.85,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,21,4.35,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,22,4.6,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,23,4.89,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,24,5,FALSE,NA
A. indica,seeds,T. congolense,10mg/ml,10,25,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,26,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,27,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,28,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,29,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,30,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,31,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,32,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,33,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,34,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,35,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,36,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,37,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,38,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,39,NA,TRUE,NA
A. indica,seeds,T. congolense,10mg/ml,10,40,NA,TRUE,NA
A. indica,seeds,T. congolense,0.5mg/ml,0.5,1,0,FALSE,NA
A. indica,seeds,T. congolense,0.5mg/ml,0.5,2,0,FALSE,NA
A. indica,seeds,T. congolense,0.5mg/ml,0.5,3,0,FALSE,NA
