contrast,diff
evansi 100mg-NC,-26.626667
evansi 100mg-NC,-29.85
evansi 100mg-NC,-72.76
evansi 100mg-NC,-29.207
evansi 100mg-NC,-56.95
evansi 100mg-NC,-97.755
evansi 100mg-NC,-44.86
evansi 100mg-NC,-51.45
congolense 100mg-NC,-34.660000000000004
congolense 100mg-NC,-25.580000000000002
congolense 100mg-NC,-47.28
congolense 100mg-NC,-19.990000000000002
congolense 100mg-NC,-24.14
congolense 100mg-NC,-17.7
congolense 100mg-NC,-47.28
congolense 100mg-NC,-29.1
plant A-M,21.515833333333333
plant A-M,-9.8905555
plant A-M,-4.041666666666668
plant A-M,-11.317499999999999
plant A-M,0
plant A-M,19.55666666666667
plant A-M,3.5599999999999996
plant A-M,-18.1391
