contrast,n_pairs,n_nonzero,n_ties,W,p,p_method,hl_est,hl_l,hl_u,r_rb,note,p_holm
100mg/ml vs NC | T. congolense,8,8,2,0,0.014147403886021537,asymptotic,-29.88789595991846,-40.970048767327,-20.9200246340023,-1,NA,0.07073701943010768
10mg/ml vs NC | T. congolense,8,8,2,5,0.07968802567429144,asymptotic,-13.25486932433413,-29.099963223524856,2.5400281493398653,-0.5,NA,0.31875210269716575
0.5mg/ml vs NC | T. congolense,8,8,2,7,0.14099408120355642,asymptotic,-11.933333333333334,-24.139920542229937,10.97496461338794,-0.75,NA,0.4229822436106693
0.01mg/ml vs NC | T. congolense,8,8,2,11,0.3621375748479859,asymptotic,-7.385590112961209,-24.139928801549495,12.959942927589044,-0.5,NA,0.7242751496959718
0.005mg/ml vs NC | T. congolense,8,8,2,15,0.7259636262501574,asymptotic,-6.587463861808342,-19.570002226266414,10.759990301690797,-0.25,NA,0.7259636262501574
100mg/ml vs NC | T. evansi,8,8,0,0,0.007812500000000002,exact,-50.29916675,-74.60249999999999,-29.207,-1,NA,0.03906250000000001
10mg/ml vs NC | T. evansi,8,8,0,0,0.007812500000000002,exact,-50.29916675,-74.60249999999999,-29.207,-1,NA,0.03906250000000001
0.5mg/ml vs NC | T. evansi,8,8,0,0,0.007812500000000002,exact,-44.13,-74.60249999999999,-29.207,-1,NA,0.03906250000000001
0.01mg/ml vs NC | T. evansi,8,8,0,5,0.07812500000000003,exact,-31.72125,-65.6275,2.1849999999999987,-0.75,NA,0.07812500000000003
0.005mg/ml vs NC | T. evansi,8,8,0,3,0.039062500000000014,exact,-34.237916750000004,-68.50999999999999,-9.398333500000001,-0.5,NA,0.07812500000000003
