contrast,n_pairs,n_nonzero,n_ties,W,p,p_method,hl_est,hl_l,hl_u,r_rb,note,p_holm
100mg/ml vs NC | T. congolense,8,8,4,0,0.013098342187735814,asymptotic,-0.8333873965902733,-0.9443914536292811,-0.7222167241429238,-1,NA,0.06549171093867907
10mg/ml vs NC | T. congolense,8,7,5,0,0.02130317617870254,asymptotic,-0.7777207131994208,-0.8333711817515095,-0.4444856420951244,-1,NA,0.08521270471481016
0.5mg/ml vs NC | T. congolense,8,5,2,0,0.0579072654172973,asymptotic,-0.6110215014503482,-0.7777777777777778,-0.4444444444444444,-1,NA,0.1737217962518919
0.01mg/ml vs NC | T. congolense,8,6,2,1.5,0.07393743585215212,asymptotic,-0.38883138297636766,-0.6666701334064997,-0.055533155884421315,-0.6666666666666666,NA,0.1737217962518919
0.005mg/ml vs NC | T. congolense,8,6,4,2.5,0.10577220785075263,asymptotic,-0.2222911236531041,-0.44447334763095175,9.775045789960752e-6,-0.6666666666666666,NA,0.1737217962518919
100mg/ml vs NC | T. evansi,8,8,6,0,0.010380729532932561,asymptotic,-0.8888888888888888,-0.9444335080238462,-0.8333442697539315,-1,NA,0.05190364766466281
10mg/ml vs NC | T. evansi,8,8,8,0,0.01287017198864739,asymptotic,-0.7889249883987506,-0.8888888888888888,-0.7222574046856056,-1,NA,0.05190364766466281
0.5mg/ml vs NC | T. evansi,8,7,5,0,0.02130317617870254,asymptotic,-0.6111198999039124,-0.7777777777777778,-0.49992456968129084,-1,NA,0.06390952853610762
0.01mg/ml vs NC | T. evansi,8,5,4,0,0.05675944638601353,asymptotic,-0.4444128774836964,-0.49996000699195925,-0.33333333333333337,-1,NA,0.11351889277202706
0.005mg/ml vs NC | T. evansi,8,4,3,0,0.08897301170181335,asymptotic,-0.22227986710194392,-0.2222222222222222,-0.2222222222222222,-1,NA,0.11351889277202706
