plant,part,parasite,group,concentration_mgml,Pre,Dur,Post,delta,pct_change,block,flag
A. indica,seeds,T. congolense,100mg/ml,100,50,52.1,52,2,4,A. indica | seeds | T. congolense,NA
A. indica,seeds,T. congolense,10mg/ml,10,49.6,50.4,50,0.3999999999999986,0.8064516129032229,A. indica | seeds | T. congolense,NA
A. indica,seeds,T. congolense,0.5mg/ml,0.5,51.5,48.6,36.4,-15.100000000000001,-29.320388349514566,A. indica | seeds | T. congolense,anemia
A. indica,seeds,T. congolense,0.01mg/ml,0.01,50.1,45.6,33.7,-16.4,-32.73453093812375,A. indica | seeds | T. congolense,anemia
A. indica,seeds,T. congolense,0.005mg/ml,0.005,55,56.8,55.3,0.29999999999999716,0.5454545454545403,A. indica | seeds | T. congolense,NA
A. indica,seeds,T. congolense,Negative Control,NA,51.2,40.3,35.4,-15.800000000000004,-30.859375000000007,A. indica | seeds | T. congolense,anemia
A. indica,seeds,T. congolense,Positive Control,NA,51,52.7,54,3,5.882352941176471,A. indica | seeds | T. congolense,NA
A. indica,roots,T. congolense,100mg/ml,100,50,52.5,54,4,8,A. indica | roots | T. congolense,NA
A. indica,roots,T. congolense,10mg/ml,10,50.1,50,NA,NA,NA,A. indica | roots | T. congolense,missing (died)
A. indica,roots,T. congolense,0.5mg/ml,0.5,52,48.1,NA,NA,NA,A. indica | roots | T. congolense,missing (died)
A. indica,roots,T. congolense,0.01mg/ml,0.01,50.1,46.7,NA,NA,NA,A. indica | roots | T. congolense,missing (died)
A. indica,roots,T. congolense,0.005mg/ml,0.005,55,36.5,NA,NA,NA,A. indica | roots | T. congolense,missing (died)
A. indica,roots,T. congolense,Negative Control,NA,54.4,32.7,NA,NA,NA,A. indica | roots | T. congolense,missing (died)
A. indica,roots,T. congolense,Positive Control,NA,51,53,53.6,2.6000000000000014,5.098039215686277,A. indica | roots | T. congolense,NA
A. indica,stem bark,T. congolense,100mg/ml,100,50,50.8,53.1,3.1000000000000014,6.200000000000002,A. indica | stem bark | T. congolense,NA
A. indica,stem bark,T. congolense,10mg/ml,10,49.6,50.4,50,0.3999999999999986,0.8064516129032229,A. indica | stem bark | T. congolense,NA
A. indica,stem bark,T. congolense,0.5mg/ml,0.5,51.5,53.2,55,3.5,6.796116504854369,A. indica | stem bark | T. congolense,NA
A. indica,stem bark,T. congolense,0.01mg/ml,0.01,50.1,52,52.4,2.299999999999997,4.590818363273447,A. indica | stem bark | T. congolense,NA
A. indica,stem bark,T. congolense,0.005mg/ml,0.005,55,55,41.2,-13.799999999999997,-25.090909090909086,A. indica | stem bark | T. congolense,anemia
A. indica,stem bark,T. congolense,Negative Control,NA,54,39,NA,NA,NA,A. indica | stem bark | T. congolense,missing (died)
A. indica,stem bark,T. congolense,Positive Control,NA,53,52.7,53.2,0.20000000000000284,0.3773584905660431,A. indica | stem bark | T. congolense,NA
A. indica,leaves,T. congolense,100mg/ml,100,52.3,52.1,54.5,2.200000000000003,4.20650095602295,A. indica | leaves | T. congolense,NA
A. indica,leaves,T. congolense,10mg/ml,10,50,50.4,52,2,4,A. indica | leaves | T. congolense,NA
A. indica,leaves,T. congolense,0.5mg/ml,0.5,51.5,54,51.2,-0.29999999999999716,-0.5825242718446547,A. indica | leaves | T. congolense,NA
A. indica,leaves,T. congolense,0.01mg/ml,0.01,50,47,36.1,-13.899999999999999,-27.799999999999997,A. indica | leaves | T. congolense,anemia
A. indica,leaves,T. congolense,0.005mg/ml,0.005,54,50,44.6,-9.399999999999999,-17.407407407407405,A. indica | leaves | T. congolense,NA
A. indica,leaves,T. congolense,Negative Control,NA,51.2,36.4,NA,NA,NA,A. indica | leaves | T. congolense,missing (died)
A. indica,leaves,T. congolense,Positive Control,NA,51,52.5,54,3,5.882352941176471,A. indica | leaves | T. congolense,NA
M. oleifera,seeds,T. congolense,100mg/ml,100,50,52.1,52,2,4,M. oleifera | seeds | T. congolense,NA
M. oleifera,seeds,T. congolense,10mg/ml,10,49.6,50.4,50,0.3999999999999986,0.8064516129032229,M. oleifera | seeds | T. congolense,NA
M. oleifera,seeds,T. congolense,0.5mg/ml,0.5,51.5,48.6,36.4,-15.100000000000001,-29.320388349514566,M. oleifera | seeds | T. congolense,anemia
M. oleifera,seeds,T. congolense,0.01mg/ml,0.01,50.1,45.6,33.7,-16.4,-32.73453093812375,M. oleifera | seeds | T. congolense,anemia
M. oleifera,seeds,T. congolense,0.005mg/ml,0.005,55,56.8,55.3,0.29999999999999716,0.5454545454545403,M. oleifera | seeds | T. congolense,NA
M. oleifera,seeds,T. congolense,Negative Control,NA,51,40.3,35.4,-15.600000000000001,-30.588235294117652,M. oleifera | seeds | T. congolense,anemia
M. oleifera,seeds,T. congolense,Positive Control,NA,51.3,53,54,2.700000000000003,5.263157894736848,M. oleifera | seeds | T. congolense,NA
M. oleifera,roots,T. congolense,100mg/ml,100,49.9,53,53.2,3.3000000000000043,6.613226452905821,M. oleifera | roots | T. congolense,NA
M. oleifera,roots,T. congolense,10mg/ml,10,49.6,51,51,1.3999999999999986,2.8225806451612874,M. oleifera | roots | T. congolense,NA
M. oleifera,roots,T. congolense,0.5mg/ml,0.5,52,51,50,-2,-3.8461538461538463,M. oleifera | roots | T. congolense,NA
M. oleifera,roots,T. congolense,0.01mg/ml,0.01,51.1,50,43.8,-7.300000000000004,-14.285714285714294,M. oleifera | roots | T. congolense,NA
M. oleifera,roots,T. congolense,0.005mg/ml,0.005,54,49.1,NA,NA,NA,M. oleifera | roots | T. congolense,missing (died)
M. oleifera,roots,T. congolense,Negative Control,NA,55.1,34.3,NA,NA,NA,M. oleifera | roots | T. congolense,missing (died)
M. oleifera,roots,T. congolense,Positive Control,NA,53.4,53,54,0.6000000000000014,1.1235955056179803,M. oleifera | roots | T. congolense,NA
M. oleifera,stem bark,T. congolense,100mg/ml,100,50,51,52.3,2.299999999999997,4.599999999999994,M. oleifera | stem bark | T. congolense,NA
M. oleifera,stem bark,T. congolense,10mg/ml,10,52,50.4,52.7,0.7000000000000028,1.3461538461538516,M. oleifera | stem bark | T. congolense,NA
M. oleifera,stem bark,T. congolense,0.5mg/ml,0.5,52,52,52.6,0.6000000000000014,1.1538461538461566,M. oleifera | stem bark | T. congolense,NA
