compound,n_present,n_absent,mean_auc_present,mean_auc_absent
Alkaloid,3,5,12.489206357142857,16.553505714285716
Anthraquinone,0,8,NA,15.029393455357145
Carbohydrates,8,0,15.029393455357145,NA
Flavonoid,4,4,16.835208339285714,13.223578571428572
Glucosides,3,5,18.16452380952381,13.148315242857143
Oxalates,0,8,NA,15.029393455357145
Phlobatanins,0,8,NA,15.029393455357145
Phytates,0,8,NA,15.029393455357145
Saponin,8,0,15.029393455357145,NA
Steroid,2,6,20.176130964285715,13.313814285714287
Tanins,6,2,12.267762702380953,23.314285714285717
Terpenoid,1,7,16.107142857142858,14.875429255102041
